what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474086988
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1505474089269
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505474089316
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505474094817
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1505474099849
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505474107933
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505474122747
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505474129935
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505474132404
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505474145156
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505474176612
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505474184316
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505474213772
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505474221180
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474221461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474228352
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505474236681
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505474238025
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474238291
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474245526
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505474254715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474254980
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474259465
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474263403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474269310
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1505474271044
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474274216
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474276873
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1505474279264
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505474284639
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1505474289284
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505474297372
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505474329469
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505474330782
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505474334907
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505474380459
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505474381694
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474381960
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474390366
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474395101
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474400961
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1505474403008
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474405946
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505474409103
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1505474411712
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505474419510
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1505474425760
