what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505349817756
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505349820460
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505349823007
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505349829571
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505349834336
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505349835493
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505349835759
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505349842431
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1505349844369
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1505349844369
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505349846306
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505349852932
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505350220956
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505350226081
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505350226785
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505350227738
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505350228316
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505350228582
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505350235411
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505350235411
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505350271149
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505350430494
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505350431041
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505350431307
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505350437854
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505350442246
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351286090
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351292919
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351301935
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505351399414
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505351400852
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505351403602
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505351404915
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505351409149
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505351410525
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505351541726
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505351544195
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351544461
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351548914
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1505351562338
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505351565025
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505351586262
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505351587059
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351587325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351597294
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351658314
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351802802
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351805287
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351816625
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505351863489
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505351865396
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505351893305
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505351899915
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505351900962
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351901228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351905775
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1505351907744
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505351907947
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505351913338
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505351913995
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351914245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351923902
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505351957109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352034134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352037771
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352044851
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505352167223
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505352171895
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505352173364
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505352174130
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505352218509
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352220963
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352225214
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505352291252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505352314207
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505352315301
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352315567
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352319958
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1505352323114
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505352323349
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505352327021
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505352337304
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505352341491
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505352343039
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505352346398
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505352348805
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505352350899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505352354712
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505352356774
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505352357572
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352357837
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352367729
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505352374698
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505352384777
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505352385715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352385981
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352392606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505352404420
