what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505301875778
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505301877575
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505301879966
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505301880217
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1505301884607
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1505301884810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505301887873
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1505301888076
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505301891733
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505301891780
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505301915595
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505301916970
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505301917236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505301930800
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505301936503
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505301936535
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505301951099
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505301952849
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505301954209
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505301963897
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505301972867
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505301980039
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505301988774
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1505302030982
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1505302030998
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302033232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302035061
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1505302035076
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302035342
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302036233
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302036764
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302038749
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302043844
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302047687
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1505302058266
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505302059391
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505302100599
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1505302103615
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505302104818
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505302104865
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505302120757
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505302129805
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302195389
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302240394
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1505302346597
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505302366251
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505302366313
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505302369173
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1505302428482
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505302434342
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505302446031
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505302446625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302446890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302453547
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505302591471
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302594112
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302603754
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302605804
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302654853
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505302665666
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505302666589
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302666854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302673698
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505302676964
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505302677668
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302677918
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302684559
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302710250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302712156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505302870708
