what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505485229411
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505485309045
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505485309325
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505485315092
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1505485315639
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505485318154
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505485336516
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505485343204
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505485345876
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505485352846
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505485367050
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505485370254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505485370504
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505485378052
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505485389397
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505485390444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505485390710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505485400679
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1505485406273
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1505485406289
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1505485407711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505485410914
