what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1505092341549
arch,sysinfo,,,"x86",1505092341549
ws,sysinfo,,,"win32",1505092341549
locale,sysinfo,,,"zh_CN",1505092341549
processors,sysinfo,,,"4",1505092341549
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1505092341549
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1505092341549
java.specification.name,sysinfo,,,"Java Platform API Specification",1505092341549
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1505092341549
java.specification.version,sysinfo,,,"1.6",1505092341549
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1505092341549
java.version,sysinfo,,,"1.6.0_23",1505092341549
java.vm.info,sysinfo,,,"mixed mode",1505092341549
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1505092341549
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1505092341549
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1505092341549
java.vm.specification.version,sysinfo,,,"1.0",1505092341549
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1505092341549
java.vm.version,sysinfo,,,"19.0-b09",1505092341549
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1505092341659
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1505092341659
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1505092341768
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1505092341830
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1505092341971
started,bundle,com.altera.sbtgui.integration,11.0.0.157,"com.altera.sbtgui.integration",1505092342377
started,bundle,com.altera.systemconsole,11.0.0.157,"com.altera.systemconsole",1505092342393
started,bundle,com.altera.utilities,11.0.0.157,"com.altera.utilities",1505092342502
started,bundle,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch",1505092343049
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1505092343768
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505092346503
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505092346581
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1505092353191
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505092353425
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505092368912
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1505092369224
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092369240
started,bundle,com.altera.sbtgui.core,11.0.0.157,"com.altera.sbtgui.core",1505092370537
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092377600
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505092382054
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505092386054
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1505092388633
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505092390148
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505092393164
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092393430
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092398118
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505092415026
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092418307
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092871035
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092887680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092898024
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1505092901106
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505092902065
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505092902853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092903119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092907161
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092909571
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092918456
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505092940683
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505092946244
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092946500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092950634
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1505092952896
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1505092954628
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1505092959262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505092971076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093101330
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093103930
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093282606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093290743
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093354115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093366530
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093383278
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.opendecl",1505093392688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093412155
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093494061
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505093511250
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505093512482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093512748
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1505093522868
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1505093522931
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093526804
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1505093538529
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093541986
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093542033
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093544538
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093545382
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093546535
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093546582
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093550720
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093550751
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1505093550767
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093552117
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093552117
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093553265
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505093553265
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505093564243
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094196736
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094349250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094356766
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094436381
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094554862
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094586475
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094623448
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094644575
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094645466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094648122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094652123
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094652217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094654623
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094662608
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505094673500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505095176672
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505097572590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505097575640
