what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1505437358112
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1505437361503
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505437361784
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505437368848
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505437384896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505437394616
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505437398679
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505437410634
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505437413228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505437415040
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1505437415931
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505437419947
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1505437422604
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1505437424698
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505437425619
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505437430057
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1505437435159
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1505437443914
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1505437501701
