what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164450496
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1504164452301
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164458932
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164466764
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164482568
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164497447
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164502321
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164557397
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504164558128
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1504164566857
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164571326
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504164573137
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1504164573158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164573263
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1504164573269
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1504164573269
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1504164575394
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1504164575451
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1504164575451
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164579483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164630906
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504164678793
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504164678970
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504164680058
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164680407
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504164699035
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1504164699044
