what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504234371967
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504234372801
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504234377742
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234378046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234387852
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1504234390526
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1504234390566
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1504234391233
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1504234392753
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504234393340
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504234394861
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1504234395953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234401412
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234403480
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504234405207
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504234422191
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504234425258
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234425565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234430321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234439194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234652714
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234679269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234681334
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504234682302
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504234688038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234688358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234693132
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504234714876
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504234716921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234717236
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234722049
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234755050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234756476
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234756504
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234759679
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234759703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234760904
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504234763759
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504234766898
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234767237
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234776979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234782610
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234784236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234784262
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234786824
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1504234791304
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1504234795677
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1504234802547
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234812032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234834284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234835205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234920461
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504234922442
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235201211
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504235202758
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504235206041
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504235214811
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504235219942
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504235231242
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235231591
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235236540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235239982
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235250480
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504235252655
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504235255289
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504235257845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235258166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235262774
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235274647
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235464216
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504235491089
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504235492371
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504235509465
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504235511499
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235511813
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235517164
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235533508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1504235535754
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235779282
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1504235780608
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504235780864
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504235781003
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1504235830253
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504235869347
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504235869456
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1504235876476
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504235877940
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504235877993
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504235877995
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1504235878014
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504235879573
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236214385
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1504236218750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236234207
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236242313
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504236246551
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504236246652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236258936
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236278515
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504236281216
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504236282648
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236286984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236298150
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1504236300800
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236303738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236305789
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236305816
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236308698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236308725
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236309724
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1504236311144
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504236314973
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236315316
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236324857
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236330534
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236332114
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236332148
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504236334724
activated,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1504236339517
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1504236344481
