what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1504170152812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170153338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170166200
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170171819
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170171849
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1504170194786
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170195090
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170222820
error,log,,,"Error",1504170224776
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1504170226675
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1504170226684
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1504170228214
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1504170228219
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170229172
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170230821
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170230845
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170234866
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1504170238323
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170242155
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170242243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170244229
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170249136
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170250691
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170253046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170253091
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170255606
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1504170259386
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1504170259387
opened,view,com.altera.sbtgui.launch,11.0.0.157,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1504170263213
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1504170263557
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1504170263564
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x0] return code: 4, 'other error'",1504170267787
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x0, /cygdrive/c/Users/Administrator.PC-20170619FMLM/Desktop/xaioxueqiziliao/wureji_gongcheng/software/AS/AS.elf] return code: 4, 'other error'",1504170273117
error,log,,,"Downloading ELF Process failed",1504170273124
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170273418
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170276725
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1504170280318
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504170280406
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1504170280520
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1504170282658
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.binaryEditor",1504170282823
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170294215
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170303519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170305008
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170306543
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1504170306738
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1504170306955
